DAUID,xCoord,yCoord
48060636,-114.04995,51.0447631
48061779,-114.07502,51.1476101
48060393,-114.08403,51.1155981
48061164,-113.96806,51.0392628
48060246,-114.17206,51.1280889
48060693,-114.14475,51.0136962
48060930,-114.00995,51.0645150
48060147,-114.14693,51.0405798
48062254,-114.09401,50.9017042
48062217,-114.10050,50.9245311
48060837,-114.13795,51.0405975
48060198,-114.20463,51.0967880
48061304,-114.05374,50.9651375
48060388,-114.09611,51.1269885
48061043,-113.94263,51.0726040
48061667,-114.20501,51.1374333
48060590,-114.09179,51.0323587
48060181,-114.15807,51.0804188
48061202,-114.00507,50.9746322
48061168,-113.98055,51.0433063
48062167,-114.22522,51.0718396
48060769,-114.11087,50.9699135
48060916,-113.98322,51.0416397
48060534,-114.07744,50.9551337
48060779,-114.12520,50.9582351
48060404,-114.05864,51.1136826
48060565,-114.08331,51.0136552
48062122,-114.05283,51.1078613
48060209,-114.20546,51.1114279
48060614,-114.06865,51.0270867
48061264,-114.03470,50.9405069
48061393,-113.98832,50.9016330
48060148,-114.14363,51.0399379
48060208,-114.20087,51.1032701
48062139,-114.11378,50.9038350
48061261,-114.04159,50.9391606
48060839,-114.12351,51.0397956
48061392,-113.98837,50.9041505
48061295,-114.06663,50.9667482
48061128,-113.92063,51.0729184
48061272,-114.03148,50.9582341
48062006,-113.92870,51.1012977
48061570,-114.15083,51.0904950
48060088,-114.06896,51.0987093
48061801,-114.22809,51.1371969
48060319,-114.11877,51.0918183
48061243,-114.00501,50.9174501
48061328,-114.08806,50.9436511
48062248,-114.23394,51.1152927
48060146,-114.14365,51.0435459
48061630,-113.93778,51.1041974
48060719,-114.18452,51.0267739
48060842,-114.10908,51.0404621
48061946,-113.99173,50.9085127
48061203,-114.00829,50.9783169
48062341,-113.95421,50.9084622
48061157,-113.97213,51.0268681
48060668,-114.10050,51.0362392
48060736,-114.12737,50.9925610
48060763,-114.12894,51.0111518
48061597,-114.18409,51.0661199
48060694,-114.14618,51.0109839
48060647,-114.07626,51.0428416
48060067,-114.07614,51.1211186
48062351,-113.93675,50.8790660
48061218,-114.01940,50.9856970
48060161,-114.17461,51.0461641
48060334,-114.13669,51.1302680
48061569,-114.14639,51.0936403
48060239,-114.17839,51.1169857
48061263,-114.03973,50.9422463
48062009,-113.93341,51.0879132
48061666,-114.20427,51.1366928
48061118,-113.94259,51.0873559
48061335,-114.04183,50.9315789
48061953,-113.96020,50.9150557
48060549,-114.08946,50.9922968
48061093,-113.96585,51.1056408
48060812,-114.13647,50.9701307
48061015,-113.94614,51.0645295
48061174,-113.96108,51.0393338
48060212,-114.20177,51.1165551
48060857,-114.05633,51.0553008
48062334,-113.94949,50.9696848
48060635,-114.05603,51.0400542
48061025,-113.96556,51.0550916
48062339,-113.97159,50.9049786
48062002,-113.93117,51.1095494
48060988,-113.96563,51.0477639
48062145,-114.10302,50.9158513
48060884,-114.03888,51.0707522
48061566,-114.15192,51.1023945
48060869,-114.06517,51.0652293
48060623,-114.07040,51.0330331
48061159,-113.97102,51.0321637
48060915,-113.97986,51.0404669
